Player,Pos,Squad,Age,Min,,,,
Dario Đumić,DF,Sandhausen,31.31780822,2411,31,781,2.139726027,33.13972603
Valon Zumberi,DF,Hamburger SV,20.50136986,16,20,137,0.375342466,20.37534247
Hendrick Zuck,DF,Kaiserslautern,32.84657534,2029,32,658,1.802739726,33.80273973
Ben Zolinski,MF,Kaiserslautern,31.0630137,558,31,301,0.824657534,31.82465753
Budu Zivzivadze,FW,Karlsruher,29.2109589,229,29,096,0.263013699,29.2630137
Leopold Zingerle,GK,Paderborn 07,29.1260274,350,29,603,1.652054795,30.65205479
Matthias Zimmermann,DF,Düsseldorf,30.94246575,2164,30,247,0.676712329,30.67671233
Christoph Zimmermann,DF,Darmstadt 98,30.36712329,2476,30,712,1.950684932,31.95068493
Jean Zimmer,DF,Kaiserslautern,29.46849315,2473,29,849,2.326027397,31.3260274
Ron-Robert Zieler,GK,Hannover 96,34.28219178,2970,34,219,0.6,34.6
Erik Zenga,MF,Sandhausen,30.35068493,1350,30,068,0.18630137,30.18630137
Abu-Bekir El-Zein,MF,Sandhausen,20.26575342,559,20,575,1.575342466,21.57534247
Natanas Žebrauskas,DF,Greuther Fürth,21.26575342,23,21,575,1.575342466,22.57534247
Luca-Milan Zander,DF,St. Pauli,27.79452055,219,27,452,1.238356164,28.23835616
Can Yılmaz Uzun,MF,Nürnberg,17.5369863,11,17,699,1.915068493,18.91506849
Aygün Yildirim,FW,Jahn R'burg,28.14246575,762,28,247,0.676712329,28.67671233
Mike Wunderlich,MF,Kaiserslautern,37.16986301,697,37,986,2.701369863,39.70136986
Manuel Wintzheimer,FW,Braunschweig,24.37260274,794,24,726,1.989041096,25.9890411
Manuel Wintzheimer,FW,Nürnberg,24.37260274,307,24,726,1.989041096,25.9890411
Jetro Willems,DF,Greuther Fürth,29.15616438,74,29,616,1.687671233,30.68767123
Jordy de Wijs,DF,Düsseldorf,28.37808219,902,28,808,2.21369863,30.21369863
Jannes Wieckhoff,MF,St. Pauli,22.81369863,45,22,137,0.375342466,22.37534247
Danilo Wiebe,MF,Braunschweig,29.17808219,1145,29,808,2.21369863,31.21369863
Hendrik Weydandt,FW,Hannover 96,27.86027397,828,27,027,0.073972603,27.0739726
Erik Wekesser,DF,Nürnberg,25.89589041,1145,25,589,1.61369863,26.61369863
Max Weiß,GK,Karlsruher,18.94520548,90,18,521,1.42739726,19.42739726
Magnus Warming,FW,Darmstadt 98,22.96438356,328,22,438,1.2,23.2
Marvin Wanitzek,MF,Karlsruher,30.05205479,2956,30,205,0.561643836,30.56164384
Hauke Wahl,DF,Holstein Kiel,29.11232877,2440,29,233,0.638356164,29.63835616
Aleksandr Vyacheslavovich Zhirov,DF,Sandhausen,32.33424658,2880,32,425,1.164383562,33.16438356
Mario Vušković,DF,Hamburger SV,21.52328767,1421,21,329,0.901369863,21.90136986
Niko Vukancic,DF,Düsseldorf,21.27123288,3,21,123,0.336986301,21.3369863
Dario Vizinger,MF,Jahn R'burg,24.96986301,198,24,986,2.701369863,26.70136986
Peter Vindahl Jensen,GK,Nürnberg,25.27123288,1260,25,123,0.336986301,25.3369863
Oscar Vilhelmsson,MF,Darmstadt 98,19.64657534,383,19,658,1.802739726,20.80273973
Christian Viet,MF,Jahn R'burg,24.16438356,1303,24,438,1.2,25.2
John Verhoek,FW,Hansa Rostock,34.16986301,1819,34,986,2.701369863,36.70136986
Nikola Vasilj,GK,St. Pauli,27.47945205,2430,27,945,2.589041096,29.5890411
Sebastian Vasiliadis,MF,Arminia,25.64109589,1688,25,411,1.126027397,26.1260274
Enrico Valentini,DF,Nürnberg,34.26027397,992,34,027,0.073972603,34.0739726
Jonas Urbig,GK,Jahn R'burg,19.79726027,1440,19,726,1.989041096,20.9890411
Maximilian Ullmann,MF,Magdeburg,26.93972603,356,26,973,2.665753425,28.66575342
Anthony Ujah,FW,Braunschweig,32.61369863,1791,32,137,0.375342466,32.37534247
Takashi Uchino,MF,Düsseldorf,22.21917808,26,22,918,2.515068493,24.51506849
Tom Trybull,MF,Sandhausen,30.21369863,789,30,137,0.375342466,30.37534247
Nicolo Tresoldi,FW,Hannover 96,18.76438356,426,18,438,1.2,19.2
Fabio Torsiello,FW,Darmstadt 98,18.30958904,11,18,959,2.62739726,20.62739726
Boris Tomiak,DF,Kaiserslautern,24.70410959,2880,24,411,1.126027397,25.1260274
Timothy Tillman,MF,Greuther Fürth,24.3890411,819,24,904,2.476712329,26.47671233
Phillip Tietz,FW,Darmstadt 98,25.87945205,2810,25,945,2.589041096,27.5890411
Denis Thomalla,MF,Heidenheim,30.77534247,2163,30,534,1.463013699,31.4630137
Sébastien Thill,MF,Hansa Rostock,29.40547945,400,29,548,1.501369863,30.50136986
Marco Thiede,DF,Karlsruher,31.01643836,1322,31,644,1.764383562,32.76438356
Norman Theuerkauf,MF,Heidenheim,36.33424658,556,36,425,1.164383562,37.16438356
Stefan Thesker,DF,Holstein Kiel,32.12328767,362,32,329,0.901369863,32.90136986
Maximilian Thalhammer,MF,Jahn R'burg,25.87671233,2258,25,671,1.838356164,26.83835616
Cedric Teuchert,FW,Hannover 96,26.36164384,1463,26,164,0.449315068,26.44931507
Lino Tempelmann,MF,Nürnberg,24.30958904,2621,24,959,2.62739726,26.62739726
Anssi Tapio Suhonen,MF,Hamburger SV,22.36164384,332,22,164,0.449315068,22.44931507
Ao Tanaka,MF,Düsseldorf,24.70684932,1743,24,685,1.876712329,25.87671233
Richmond Tachie,FW,Paderborn 07,24.09589041,334,24,589,1.61369863,25.61369863
Asger Sørensen,DF,Nürnberg,26.97260274,65,26,726,1.989041096,27.9890411
Philipp Strompf,DF,Braunschweig,25.09041096,335,25,041,0.112328767,25.11232877
John-Patrick Strauß,DF,Hansa Rostock,27.32328767,66,27,329,0.901369863,27.90136986
Sebastian Stolze,MF,Hannover 96,28.32054795,110,28,055,0.150684932,28.15068493
Filip Stojilković,FW,Darmstadt 98,23.3890411,728,23,904,2.476712329,25.47671233
Dejan Stojanović,GK,Jahn R'burg,29.85205479,1260,29,205,0.561643836,29.56164384
